SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
AAVAS,Aavas Financiers Limited,EQ,08-Oct-2018,10,1,INE216P01012,10
3PLAND,3P Land Holdings Limited,BE,19-Jul-1995,2,1,INE105C01023,2
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-1999,10,1,INE793A01012,10
21STCENMGM,21st Century Management Services Limited,EQ,03-May-1995,10,1,INE253B01015,10
AARON,Aaron Industries Limited,EQ,06-Nov-2020,10,1,INE721Z01010,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-2017,10,1,INE674K01013,10
ADORWELD,Ador Welding Limited,EQ,10-May-1995,10,1,INE045A01017,10
ADANIGREEN,Adani Green Energy Limited,BE,18-Jun-2018,10,1,INE364U01010,10
AIRAN,Airan Limited,BE,03-May-2019,2,1,INE645W01026,2
AMJLAND,Amj Land Holdings Limited,EQ,08-Feb-1995,2,1,INE606A01024,2
ANSALHSG,Ansal Housing Limited,EQ,06-Oct-2006,10,1,INE880B01015,10
APCL,Anjani Portland Cement Limited,EQ,10-Apr-2017,10,1,INE071F01012,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-2021,5,1,INE420B01028,5
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-1995,1,1,INE208A01029,1
BANKINDIA,Bank of India,EQ,30-Apr-1997,10,1,INE084A01016,10
BIGBLOC,Bigbloc Construction Limited,EQ,02-Sep-2016,10,1,INE412U01017,10
BLS,BLS International Services Limited,EQ,14-Jun-2016,1,1,INE153T01027,1
BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-Oct-2020,10,1,INE032Z01012,10
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-Sep-2017,10,1,INE264T01014,10
CASTROLIND,Castrol India Limited,EQ,14-Mar-2014,5,1,INE172A01027,5
CELEBRITY,Celebrity Fashions Limited,EQ,12-Jan-2006,10,1,INE185H01016,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-1996,2,1,INE121A01024,2
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-May-2021,2,1,INE419D01026,2
COMPINFO,Compuage Infocom Limited,EQ,07-Jul-2016,2,1,INE070C01037,2
CREATIVE,Creative Peripherals and Distribution Limited,BE,05-Aug-2019,10,1,INE985W01018,10
